iteration,candidate_speed,cand_stance_freq,cand_swing_freq,cand_a_param,cand_lambda_cpl,cand_A_front,cand_A_back,cand_A_hip,bestp_stance_freq,bestp_swing_freq,bestp_a_param,bestp_lambda_cpl,bestp_A_front,bestp_A_back,bestp_A_hip,max_ei,median_sigma,mll
0,0.0328792670253961,4.743918248402792,2.702961805113673,12.50963140009938,0.1679447602112071,1.4850140039484312,1.4972515429635045,0.5148739197303086,4.743918248402792,2.702961805113673,12.50963140009938,0.1679447602112071,1.4850140039484312,1.4972515429635045,0.5148739197303086,,,
1,-0.0001843642010523,5.307224750518799,2.986656010150909,10.116317719221115,0.1741877645254135,1.678404450416565,1.3482939004898071,0.5597240924835205,5.307224750518799,2.986656010150909,10.116317719221115,0.1741877645254135,1.678404450416565,1.3482939004898071,0.5597240924835205,-6.725442118684406,0.0050104255180111,-1.273208633088303
2,0.0247457923262059,5.330882906913757,3.0754880905151367,13.113051056861876,0.3058572709560394,1.5677087306976318,1.4138017892837524,0.3310248255729675,5.330882906913757,3.0754880905151367,13.113051056861876,0.3058572709560394,1.5677087306976318,1.4138017892837524,0.3310248255729675,-6.990660813060683,0.0079747320530101,-1.4572085700272757
3,0.001384339676371,4.36871337890625,2.541950762271881,12.443193048238754,0.0034129894338548,1.377979397773743,1.6174240112304688,0.5697641372680664,4.36871337890625,2.541950762271881,12.443193048238754,0.0034129894338548,1.377979397773743,1.6174240112304688,0.5697641372680664,-7.951609861433712,0.0088254892445517,-1.450857655534104
4,-0.004968200638155,4.872745871543884,2.8782833218574524,12.74078905582428,0.2085258662700653,1.4950590133666992,1.4845174551010132,0.4523245692253113,4.872745871543884,2.8782833218574524,12.74078905582428,0.2085258662700653,1.4950590133666992,1.4845174551010132,0.4523245692253113,-7.86975728517756,0.0092219270199952,-1.4596418224356391
5,-0.0030791024996436,4.693019986152649,2.655289113521576,12.563948333263395,0.159467414021492,1.4744338989257812,1.507002830505371,0.5252951383590698,4.693019986152649,2.655289113521576,12.563948333263395,0.159467414021492,1.4744338989257812,1.507002830505371,0.5252951383590698,-8.249169322451007,0.0093465737148026,-1.4857497393829595
6,0.0044974536748011,5.717820167541504,0.4772701263427734,6.24246034771204,0.424342006444931,1.252719163894653,1.2760288715362549,0.7483976483345032,5.717820167541504,0.4772701263427734,6.24246034771204,0.424342006444931,1.252719163894653,1.2760288715362549,0.7483976483345032,-12.439063563707329,0.0093301900604759,-1.6065779266898144
7,-0.0039747809616423,3.5786983966827397,4.499329090118408,8.27818088233471,0.8365744948387146,1.0143994092941284,1.300736904144287,0.7196677327156067,3.5786983966827397,4.499329090118408,8.27818088233471,0.8365744948387146,1.0143994092941284,1.300736904144287,0.7196677327156067,-12.605893089797448,0.0091976141841962,-1.541217159635617
8,-0.0043092844580908,5.458808183670044,3.494588613510132,19.434650242328644,0.7316429018974304,1.0517219305038452,1.4600082635879517,1.055935978889465,5.458808183670044,3.494588613510132,19.434650242328644,0.7316429018974304,1.0517219305038452,1.4600082635879517,1.055935978889465,-12.673608442208415,0.0092023889139553,-1.6569119044259326
9,0.0044758605181168,1.5684771537780762,5.096649169921875,9.198029935359957,0.2054757326841354,1.9565871953964236,0.6147237420082092,0.2450893670320511,1.5684771537780762,5.096649169921875,9.198029935359957,0.2054757326841354,1.9565871953964236,0.6147237420082092,0.2450893670320511,-12.762045725501114,0.0092091183543687,-1.6376394638070058
10,0.0044905593799069,1.1456834971904757,3.1064168214797974,16.998088657855988,0.5658202171325684,1.4212888479232788,0.5585842132568359,0.928669571876526,1.1456834971904757,3.1064168214797974,16.998088657855988,0.5658202171325684,1.4212888479232788,0.5585842132568359,0.928669571876526,-12.925159297418263,0.0090875460815612,-1.619533299797144
11,0.0125498781226439,5.012553334236145,4.376931667327881,19.624462127685547,0.8215197324752808,1.8549001216888428,0.4270815849304199,0.1478182971477508,5.012553334236145,4.376931667327881,19.624462127685547,0.8215197324752808,1.8549001216888428,0.4270815849304199,0.1478182971477508,-13.087321808299052,0.0089706441018187,-1.6023401523125969
12,-0.001481668401696,1.4321645200252533,4.405334830284119,7.295133620500565,0.7570708990097046,0.8744138479232788,1.8530302047729488,0.9036300182342528,1.4321645200252533,4.405334830284119,7.295133620500565,0.7570708990097046,0.8744138479232788,1.8530302047729488,0.9036300182342528,-13.055429446801313,0.008936196730693,-1.585857560200573
