Trial,stance_freq,swing_freq,a_param,lambda_cpl,A_front,A_back,A_hip,Time_Duration,Straight_line_distance,Average_Forward_Speed,Average_Lateral_Deviation,Total_Energy_Consumed,Cost_of_Transport,Total_COM_Displacement,Average_Frequency
275,5.178558538,5.379091288,6.399046276,0.370518344,0.554679236,0.876717578,1.957037582,20,0.316060597,-0.01413365,0.060750357,76.2298146,27.30711044,0.316060597,5.277986533
276,5.31869152,2.496684361,18.20327824,0.971262734,0.370787589,0.007183993,1.359085537,20,0.178583276,-0.008904028,0.003706629,25.48184707,16.15516357,0.178583276,3.500101196
277,4.834128775,1.700388789,16.15374093,0.688699154,1.4984781,0.518918441,1.659953093,20,0.305081654,0.01413222,0.031039799,57.28574763,21.25943566,0.305081654,2.619243151
278,0.392279174,3.459610105,12.27178469,0.203408862,0.677654453,0.307660324,1.401754749,20,0.035690337,-0.001780291,0.001847262,10.38036562,32.92935672,0.035690337,0.818081086
279,3.281587598,2.046823337,10.29640282,0.026794336,0.521881532,1.787919585,0.559746299,20,0.367956399,-0.014301528,0.126373215,48.94135536,15.05916429,0.367956399,2.546117658
280,1.977473429,1.59601785,17.08350152,0.830019629,0.969961031,0.834100095,1.091981839,20,0.1521343,0.007605305,0.019021104,19.43835203,14.4661692,0.1521343,1.779092726
281,2.499197104,1.012531371,15.1248017,0.51418445,0.892181858,1.499563234,0.469015879,20,0.212047845,0.010415561,0.049335636,23.85288,12.73585772,0.212047845,1.559668205
282,2.754674787,5.862194573,14.72245166,0.43193294,1.71359,0.071522204,1.68102901,20,0.01967538,0.000548945,0.005460337,68.39237052,393.5552988,0.01967538,3.810898583
283,2.197433781,2.340674734,5.495097325,0.539084435,0.325975494,1.729502988,1.201207777,20,0.062188274,-0.001774269,0.08437888,45.48691099,82.81312605,0.062188274,2.263830983
284,1.710826024,3.3363214,7.975493305,0.887013491,1.775597396,0.765101281,1.932880969,20,0.321016641,0.016014854,0.018611382,65.71706951,23.17778243,0.321016641,2.351643344
285,5.970407424,1.358022695,7.279747741,0.123256554,0.225778155,1.98097116,0.072691133,20,0.104458846,-0.004822357,0.115492786,43.21927751,46.84395084,0.104458846,2.379705834
286,0.007626008,2.788113027,19.39547014,0.447899227,0.748622651,0.595731718,1.587679821,20,0.010759905,0.000505474,0.000704558,0.211112103,2.221395699,0.010759905,0.007626018
287,5.508655976,0.466261848,11.04833604,0.171100901,1.547082972,1.196484524,0.601557567,20,0.165732491,0.0081406,0.013253626,20.07247086,13.71242983,0.165732491,0.952680849
288,2.87707441,5.582776837,13.87253561,0.845974864,1.640957326,0.636893102,1.479694329,20,0.263841657,0.012711744,0.020942854,64.89258881,27.84665108,0.263841657,3.893651169
289,5.635193805,0.290642604,8.103774448,0.919799836,1.935034544,1.426322722,0.402153468,20,0.018039307,-0.000751673,0.000443471,0.481549484,3.022332962,0.018039307,0.400944567
290,4.791202462,3.623461469,15.72031141,0.076212032,0.453827002,0.696753908,0.380714805,20,0.223632196,0.010607502,0.051704186,13.68314293,6.927440011,0.223632196,4.132696955
291,1.178903905,5.799362646,8.54657999,0.944303189,0.652998551,1.916145421,0.702293713,20,0.22019495,0.010843306,0.070148273,35.21733309,18.10799431,0.22019495,2.221680449
292,4.036342549,3.176474879,18.51610758,0.635202974,0.850355994,0.423947876,0.975993498,20,0.075683745,-0.000928166,0.01998815,22.14464676,33.12740244,0.075683745,3.5629571
293,4.460535331,4.58261678,17.76501706,0.48038364,1.158234951,1.020480302,0.273907908,20,0.258525299,0.008856126,0.102517783,35.24266357,15.43429915,0.258525299,4.521065272
294,3.151749958,0.169361137,5.804696531,0.747705728,0.069298083,1.285966294,0.150770497,20,0.001694877,-6.91E-05,1.53E-05,0.009260452,,0.001694877,0.177459864
295,4.205456589,5.146451367,13.37026919,0.052581972,1.913638666,1.223259774,1.136552405,20,0.206449523,-0.001422044,0.070677596,110.5727339,60.63947096,0.206449523,4.628895369
296,0.769297701,4.296410464,9.661210951,0.716894078,1.205750411,1.084206801,1.741188214,20,0.098522628,0.001584689,0.028819083,37.36123593,42.93450774,0.098522628,1.501945235
297,3.977647002,1.960847299,12.96714789,0.572356017,0.135812089,0.199067265,1.014049757,20,0.140918144,-0.006794513,0.011540128,11.95856185,9.608006268,0.140918144,2.646367842
298,2.25443376,4.018362641,11.86480726,0.609507427,1.450838475,0.261597787,0.883653062,20,0.09101355,-0.002473549,0.026163369,30.01110953,37.33337358,0.09101355,2.917970699
299,3.791557406,0.860081107,6.858268768,0.317085887,1.807231123,1.583772808,0.768778375,20,0.396919765,0.016482321,0.084286702,49.07683681,13.99893757,0.396919765,1.530170725
300,3.528990111,4.961923823,16.76317427,0.160612322,1.013399501,1.359011891,0.047791283,20,0.055686083,0.00271055,0.118326759,47.9485906,97.48783262,0.055686083,4.112842457
