Trial,stance_freq,swing_freq,a_param,lambda_cpl,A_front,A_back,A_hip,Time_Duration,Straight_line_distance,Average_Forward_Speed,Average_Lateral_Deviation,Total_Energy_Consumed,Cost_of_Transport,Total_COM_Displacement,Average_Frequency
1,4.297635675059949,5.409907260734812,5.427920193640183,0.0683783517620918,0.1792112365326343,0.905111570068495,1.5448198270786373,20.0,0.4491523844905822,0.0047778963047108,0.1578658356496909,62.1370849670789,15.6631246799398,0.4491523844905822,4.796287761742995
2,1.918160172726168,4.490081262465388,13.986220443378466,0.2082162297108397,1.4307904457853813,0.8446845522333939,1.1474380864381064,20.0,0.2103091655450193,0.0099349938696341,0.0294372587623888,51.12883085136327,27.52509971560968,0.2103091655450193,2.739470686711753
3,4.939361034141671,3.70930042210387,9.93297915137642,0.053229567118429,1.2531029839549237,0.3158457773038767,1.0833090218246633,20.0,0.0442756063952253,4.23512562078834e-05,0.0101398159434449,41.87667934468879,107.08507811158816,0.0442756063952253,4.246878152532398
4,4.743918248402792,2.702961805113673,12.50963140009938,0.1679447602112071,1.4850140039484312,1.4972515429635045,0.5148739197303086,20.0,0.771101983435011,0.0328792670253961,0.0940594894226022,64.6743857768656,9.496022431893923,0.771101983435011,3.488674774520568
5,4.567869598244974,1.4060149173567735,15.24196570722606,0.8628044795843076,0.5584340162975,0.4815544590438468,0.5591331132631306,20.0,0.0671155944220145,0.0030377500110387,0.0068423054047675,7.421192314876166,12.51905318466934,0.0671155944220145,2.341562171605592
6,3.01654045904182,0.3920814246671594,12.235705368369988,0.1180221372371532,1.5958433613900085,1.0905781220573751,1.3431578107679565,20.0,0.0833089690110023,0.0040623693146765,0.0084548981714616,14.96566310967456,20.338805537566238,0.0833089690110023,0.7123059531178385
7,3.681411796379143,5.947980510452555,13.080059239484296,0.7163501372826163,1.0326074077022311,1.8164646528198547,0.0568051976143362,20.0,0.0542769718893331,-0.0014988688465254,0.1085355419366954,78.34183728772993,163.41780819979613,0.0542769718893331,4.603158598296851
8,3.836074656176145,2.2633426187993484,18.1064515292226,0.6602794580326621,0.6131757225910313,0.1205784049295199,1.9278964921757655,20.0,0.0685299636951427,-0.0020504768975566,0.0165223034777446,44.77585004714199,73.97493239844172,0.0685299636951427,2.8594712465941607
9,3.2289546051425857,0.6277433007644664,10.06173145179171,0.5509363426880403,1.781730107425752,0.3995272114264556,1.490285273628337,20.0,0.0634782977260929,0.0027240046352211,0.0111657654650065,21.649332184522788,38.61361584033569,0.0634782977260929,1.170257484294795
10,5.856018123298261,4.632886156699945,11.859061086317729,0.0261593944279008,0.8907112413288941,0.2129963444569993,0.1357552751436686,20.0,0.0180393749220364,0.0009016323918429,0.0025619698192244,6.111754199412032,38.35885489984757,0.0180393749220364,5.179175053034167
11,0.9698950339157644,0.9035575223601326,15.552642068901914,0.4192427697684854,1.0940331958610634,1.0650339548337755,0.6217693408564707,20.0,0.0279613804020314,-0.0012837159132507,0.0034673222989955,3.8073354255667184,15.41642843027593,0.0279613804020314,0.9285336723551963
12,2.2161822760732357,1.834634934088656,14.057239866645029,0.6779881539826492,1.1836298488504549,1.6154322000735832,1.2525550171594992,20.0,0.1848573222371428,0.0089082837549019,0.0262551963288915,34.380227887129365,21.056846563818933,0.1848573222371428,2.010397353215432
13,5.633745033067108,0.5874564154858464,6.587256093303222,0.3945164244508632,1.841656866900224,1.2455507888962023,1.2872441976481506,20.0,0.1833336734835103,0.0091218790090647,0.0247295477293703,37.506248435636735,23.16235025863685,0.1833336734835103,1.3307503387003046
14,2.764285624365125,5.720748767556604,17.99708770244601,0.8912501762416633,0.1052540790514029,0.1929385842195117,0.2244560035975628,20.0,0.0752459907674985,-0.0005288170765564,0.0209462602927569,1.1984028201968169,1.80318670514723,0.0752459907674985,3.8383786531542143
15,5.523915146022694,1.654941212384752,9.173066994465804,0.9522924417074198,0.0088452996238533,1.4245243254999889,0.6793150431929134,20.0,0.1866756352075612,0.0093190294690197,0.0672207769888838,17.967311998591228,10.897244889737584,0.1866756352075612,2.747999057840037
16,0.1316410552119774,2.091266142066309,8.901851557442622,0.5667952936627124,1.3171189690462448,0.7162088355181931,1.661787328507269,20.0,0.0100253169814011,0.0001651755605139,1.5892712454072324e-05,0.1257778471976733,1.420454357112552,0.0100253169814011,0.1318857248696461
