Trial,stance_freq,swing_freq,a_param,lambda_cpl,A_front,A_back,A_hip,Time_Duration,Straight_line_distance,Average_Forward_Speed,Average_Lateral_Deviation,Total_Energy_Consumed,Cost_of_Transport,Total_COM_Displacement,Average_Frequency
1,0.5476775731501367,2.9403017713171753,10.59288712970286,0.26360280192883007,1.2933266316022898,0.9514292982125471,1.8541399284422264,20.0,0.16023197529791997,0.0075811821514401734,0.028835923071436436,30.033774899387392,21.221788114910638,0.16023197529791997,1.079291141440729
2,1.5889706745333865,4.745006126418793,14.171283492562203,0.34792447790731906,1.3899958491129776,1.8378246139463477,0.8220468467616987,20.0,1.1574511824799538,0.012347653842342484,0.3854409325872269,78.7299709877667,7.7012043539483725,1.1574511824799538,2.4889483882839647
3,0.9154430653459744,3.8733631201451764,19.516282023753163,0.27723117258967916,1.1072250111279982,0.3875164953519935,1.3102692889618843,20.0,0.08732392739181236,-0.0010943372612896704,0.02085381594641224,25.11492385497518,32.56265779187401,0.08732392739181236,1.5969230192522297
4,1.2977868052860844,0.6217581180998842,9.112218028763655,0.7893951133128209,0.0050522068995450566,1.635272674305616,0.22041607718651798,20.0,0.11967555235102013,0.005907185566427938,0.019417320637224074,4.788759570073323,4.530423814636141,0.11967555235102013,0.9361113164672106
5,5.178558538309282,5.379091288313411,6.399046276235275,0.37051834421039026,0.5546792359010279,0.8767175784257044,1.9570375820529655,20.0,0.5728446767026426,-0.027061207128588692,0.08991486207091404,83.04314889277904,16.41300743749646,0.5728446767026426,5.277343320752227
6,5.318691520464892,2.4966843611750007,18.20327824112205,0.9712627338364125,0.370787588922725,0.007183992668890471,1.3590855374398276,20.0,0.6951065146898254,-0.034746588054538605,0.007187859121465427,25.919014260518956,4.22170964843913,0.6951065146898254,3.5866091794087254
7,4.8341287748386845,1.7003887890165503,16.153740934085015,0.6886991541783564,1.4984780997384157,0.5189184405987324,1.6599530931987683,20.0,0.24643026581644814,-0.010404709448628657,0.03516517937261829,64.78449767575623,29.764479302093484,0.24643026581644814,2.7381103334760013
8,0.39227917401580614,3.4596101047228016,12.271784689559222,0.20340886176356082,0.6776544530205146,0.30766032436794555,1.4017547486863184,20.0,0.1244339555381135,-0.005998733006254003,0.011087272954172512,10.446626765822515,9.50513766126369,0.1244339555381135,0.8386785797468831
9,3.281587597784327,2.0468233371569404,10.296402820760196,0.02679433626772427,0.5218815323278777,1.7879195849179341,0.5597462988491707,20.0,0.10779021335701607,0.004806992660322212,0.10118330506404567,51.00339934715639,53.57239104073665,0.10779021335701607,2.5381306182548062
10,1.9774734289777363,1.5960178502325155,17.083501517905788,0.8300196294022454,0.9699610309632158,0.8341000951277354,1.0919818394410958,20.0,0.1410021331953572,0.0026739305026576717,0.03068657520012288,19.8158990029806,15.911434532884233,0.1410021331953572,1.779062809548382
11,2.4991971035196805,1.0125313712542063,15.124801702818361,0.5141844500705678,0.8921818575529811,1.499563233892868,0.4690158794083097,20.0,0.8047719243281474,0.038635429041434556,0.06939338903872308,25.774655357594042,3.6261126270483786,0.8047719243281474,1.5617288282509432
12,2.754674787328173,5.862194572570286,14.722451660551068,0.4319329403643771,1.7135900000144177,0.0715222043065606,1.6810290095046667,20.0,0.6279508038368462,-0.03128673312356578,0.015802102774485998,86.8767065827098,15.663866294359204,0.6279508038368462,3.8258226372940207
13,2.197433781293922,2.3406747340674507,5.495097325476718,0.5390844352340641,0.32597549384606245,1.7295029880816786,1.201207777120327,20.0,0.7002029255504091,0.01740453367756928,0.20965521413427213,48.86347427937909,7.900992710187272,0.7002029255504091,2.2677917342856686
14,1.7108260241169573,3.3363214001872654,7.975493305218453,0.8870134905233726,1.775597396182524,0.7651012807963025,1.9328809689012345,20.0,0.28239437313993837,0.013784728513135738,0.029242283322787877,76.46551822687395,30.6570834838869,0.28239437313993837,2.401398770708956
15,5.970407423941957,1.3580226948503187,7.279747740625651,0.12325655445633779,0.22577815490064007,1.9809711596307136,0.07269113266103867,20.0,0.28214886488793994,0.005716596714355593,0.05553233071888263,47.22284238800247,18.949382225211238,0.28214886488793994,2.4030479023267923
16,0.007626008360384696,2.7881130269128196,19.39547014042251,0.4478992272248031,0.7486226513677346,0.5957317179117079,1.587679821038008,20.0,0.044238682740749935,-0.0013855156397984533,0.011678757406829388,3.2550642987155602,8.330644927666505,0.044238682740749935,0.42912241765673115
17,5.508655975661862,0.46626184828996525,11.048336036505594,0.17110090121528165,1.5470829723054496,1.1964845237748964,0.6015575671138542,20.0,0.6375161122949247,0.031874326501526835,0.033449122422325415,29.208325898560396,5.1872447466924845,0.6375161122949247,1.0025501626777462
18,2.8770744101697687,5.58277683695971,13.872535612305118,0.8459748638477903,1.6409573255410907,0.6368931016339638,1.4796943289600832,20.0,0.1306944621910738,0.005575049707476635,0.026483048920042256,73.436345702225,63.61728209033025,0.1306944621910738,3.929052056673976
19,5.635193804517044,0.2906426039639385,8.103774447972778,0.9197998356968982,1.9350345441787726,1.426322722304931,0.4021534678208788,20.0,0.7384674453620694,0.035703226081346975,0.07215118063409733,36.713239553567824,5.628758200571598,0.7384674453620694,1.4712605078022516
20,4.791202461588721,3.62346146943146,15.720311406227562,0.07621203230137344,0.45382700164139866,0.6967539082672671,0.3807148050585388,20.0,0.4679374909583059,-0.011657685505348485,0.1090404280157566,16.81327518477681,4.068044718695668,0.4679374909583059,4.133651486148916
21,1.1789039046266585,5.799362645876377,8.546579990067698,0.9443031894988058,0.6529985512222328,1.9161454214958171,0.7022937125652168,20.0,0.49744848971001476,0.001851479074512733,0.19557205921535475,51.919881432993996,11.816988546594963,0.49744848971001476,2.5851468588303734
22,4.036342549346105,3.1764748794243043,18.516107584918135,0.6352029744524305,0.8503559936204911,0.4239478760332046,0.9759934978155942,20.0,0.12557402130206471,-0.004688369735423111,0.026076697943771803,28.00445391969525,25.249253675008877,0.12557402130206471,3.570026695379686
23,4.460535331098883,4.582616779970449,17.765017059896785,0.48038363987699684,1.1582349509383545,1.0204803017218957,0.27390790846659957,20.0,1.2815563393026888,0.05508597294090538,0.20439305536283076,48.84957863818197,4.31563153584215,1.2815563393026888,4.5208806410825755
24,3.151749958018515,0.16936113653336274,5.804696531393512,0.7477057284103628,0.06929808260529637,1.285966294292239,0.15077049662202474,20.0,0.23744616518075598,0.011603471351157555,0.0362451432813999,5.860852487347759,2.794582080496168,0.23744616518075598,1.0570111458850506
25,4.205456589237875,5.146451367448282,13.370269187237062,0.05258197208103659,1.913638666172018,1.223259774318102,1.1365524052786975,20.0,0.4476977566616996,0.02172235066333554,0.07984771279903087,127.9567727792837,32.3593358258818,0.4476977566616996,4.632287698676527
26,0.7692977014927951,4.296410463555973,9.661210950600882,0.7168940777806289,1.2057504106070656,1.0842068009199026,1.741188213625962,20.0,0.23664738690652148,0.011173494448912556,0.0223009855444281,46.71503212180308,22.349930540119402,0.23664738690652148,1.808244677713752
27,3.9776470023761785,1.9608472993006583,12.967147887198195,0.5723560167178439,0.13581208921294557,0.1990672652647711,1.0140497570752283,20.0,0.2616524199594058,-0.012933125064577094,0.014096255192320424,13.048886922957683,5.646378029686026,0.2616524199594058,2.7238673710298738
28,2.2544337602944053,4.018362641122924,11.864807263370299,0.6095074272227805,1.4508384745687186,0.2615977866636822,0.8836530624864484,20.0,0.1807504617144623,-0.009004926720011314,0.011487398558951025,36.611305522911046,22.932797678411372,0.1807504617144623,2.956793839709165
29,3.7915574057193875,0.8600811073684753,6.858268767648817,0.3170858868305141,1.8072311230752434,1.5837728080666524,0.7687783745428856,20.0,1.0253698886002003,0.05125488167712254,0.0376545530271459,60.584681914374976,6.689651778081882,1.0253698886002003,1.640491279920383
30,3.528990110591951,4.961923822624603,16.763174265828688,0.16061232243295248,1.0133995005560954,1.3590118905581414,0.047791283144276546,20.0,0.7681422067966313,-0.02711509120504736,0.2582948552367875,55.367313345630095,8.160806128520285,0.7681422067966313,4.134263684766974
