stance_freq,swing_freq,a_param,lambda_cpl,A_front,A_back,A_hip
3.4086089259093555,1.2025991454986178,19.868508447540165,0.9014221286433374,1.719452126502056,1.927683751653052,0.0178513499162608
3.125658631324768,0.47668808698654175,20.0,0.8097667694091797,1.8576569557189941,1.8387616872787476,0.0
3.626915216445923,1.8446690440177917,20.0,0.8522529602050781,1.6858298778533936,1.8566253185272217,0.04322167485952377
4.151861071586609,2.3059614300727844,17.69534409046173,0.7144086956977844,1.6765042543411255,1.7290414571762085,0.11022336781024933
3.5596554279327393,2.454694390296936,20.0,0.894894540309906,1.6405980587005615,1.9120134115219116,0.0
3.2390506267547607,1.5605982542037964,20.0,0.9318875670433044,1.6194974184036255,1.7892346382141113,0.27146920561790466
4.361463189125061,2.505852162837982,5.536271762102842,0.4026136100292206,0.3711395263671875,1.6342250108718872,0.2929394543170929
3.489535689353943,1.5917081236839294,20.0,0.9161697030067444,1.8030147552490234,2.0,0.0
4.01980984210968,1.5319186449050903,20.0,0.7227798104286194,1.6170371770858765,1.9656347036361694,0.0
6.0,1.5671011805534363,20.0,1.0,1.7173974514007568,2.0,0.0
3.376626133918762,1.5534671545028687,20.0,0.6990405321121216,1.6972160339355469,1.6075767278671265,0.0
3.958401918411255,1.5223093628883362,20.0,1.0,1.734580159187317,2.0,0.5764120817184448
4.296701073646545,3.3060665130615234,10.670136213302612,0.6177062392234802,0.37035369873046875,1.7401645183563232,1.2808433771133423
3.5320043563842773,1.561248242855072,17.398330569267273,1.0,1.6811999082565308,2.0,0.0
4.134896636009216,1.8397577404975891,5.753488447517157,0.7262940406799316,0.3917934000492096,1.5066438913345337,0.3156679570674896
3.351442337036133,1.6303156614303589,11.713431924581528,0.7519300580024719,1.7512248754501343,2.0,0.0
2.941382646560669,1.7437925934791565,20.0,0.7173484563827515,1.6931800842285156,2.0,0.0
3.3830190896987915,1.7340527772903442,20.0,0.5809330344200134,1.8818515539169312,2.0,0.0
3.5254887342453003,1.6996707916259766,20.0,0.18048156797885895,1.7145640850067139,2.0,0.0
3.477875590324402,1.7499083876609802,7.0892032235860825,0.0,1.6902810335159302,2.0,0.0
3.428376317024231,1.784862220287323,20.0,0.0,1.5739390850067139,2.0,0.0
3.184301018714905,1.7846195697784424,5.0,0.0,1.7509490251541138,2.0,0.0
2.910686194896698,1.8562540411949158,5.0,0.0,1.83115553855896,2.0,0.0
2.403545558452606,1.983255386352539,5.0,0.0,2.0,2.0,0.0
1.590620756149292,2.1556416749954224,5.0,0.0,2.0,2.0,0.0
2.649173140525818,2.0379872918128967,5.0,0.0,2.0,2.0,0.6963711977005005
2.78631591796875,2.035071909427643,5.0,0.0,2.0,2.0,0.0
2.7734227180480957,2.103244721889496,5.0,0.0,2.0,1.3269497156143188,0.0
2.797642171382904,2.1011136174201965,20.0,0.0,2.0,2.0,0.0
2.770100176334381,2.148661494255066,5.0,0.0,2.0,2.0,0.0
2.687418758869171,2.1701597571372986,5.0,0.0,2.0,2.0,0.0
2.6095860600471497,2.192512035369873,20.0,0.0,2.0,2.0,0.0
2.555823862552643,2.2370595932006836,5.0,0.0,2.0,2.0,0.0
2.542575180530548,2.2490281462669373,5.0,0.0,2.0,2.0,0.0
2.5338274240493774,2.248362421989441,20.0,0.0,2.0,2.0,0.0
2.536974012851715,2.2504920959472656,20.0,0.0,2.0,2.0,0.0
3.67620849609375,1.2597495317459106,20.0,0.0,1.4814679622650146,2.0,0.0
2.5355697870254517,2.2647875547409058,5.0,0.0,2.0,2.0,0.0
2.5410847663879395,2.2409536242485046,5.0,0.0,2.0,2.0,0.0
2.5353623628616333,2.263504385948181,18.01224708557129,0.0,2.0,2.0,0.0
2.5455175638198853,2.226857006549835,20.0,0.0,2.0,2.0,0.0
2.5639071464538574,2.273966073989868,5.0,0.0,2.0,2.0,0.0
2.5501270294189453,2.2269038558006287,20.0,0.0,2.0,2.0,0.0
2.539232611656189,2.2284827828407288,5.0,0.0,2.0,2.0,0.0
2.5828766226768494,2.2600157260894775,20.0,0.0,2.0,2.0,0.0
2.543286144733429,2.2210142612457275,5.0,0.0,1.8924957513809204,2.0,0.0
2.6095458269119263,2.3134605288505554,5.0,0.0,2.0,2.0,0.0
2.6304715275764465,2.2670554518699646,5.0,0.0,2.0,2.0,0.0
2.6212883591651917,2.260718286037445,20.0,0.0,2.0,2.0,0.0
2.6093868613243103,2.2456483840942383,20.0,0.0,2.0,2.0,0.0
2.604651153087616,2.2444149255752563,20.0,0.0,2.0,2.0,0.0
2.59718781709671,2.243577539920807,5.0,0.0,2.0,2.0,0.0
2.594177484512329,2.2439382076263428,5.0,0.0,2.0,2.0,0.0
2.5922452211380005,2.2422780990600586,20.0,0.0,2.0,2.0,0.0
2.58205246925354,2.238150894641876,5.0,0.0,2.0,2.0,0.0
2.6143303513526917,2.2282623052597046,20.0,0.0,2.0,2.0,0.0
2.539097785949707,2.2845717072486877,5.0,0.0,2.0,2.0,0.0
2.5322402715682983,2.3290443420410156,5.0,0.0,2.0,1.8388893604278564,0.0
2.5208144187927246,2.3882367610931396,5.0,0.0,2.0,2.0,0.0
2.497303068637848,2.460934102535248,12.802435159683228,0.0,2.0,2.0,0.0
2.5388377904891968,2.431053578853607,5.0,0.0,2.0,2.0,0.0
2.5440176725387573,2.39924418926239,20.0,0.0,2.0,2.0,0.0
2.591937839984894,2.3727457523345947,5.0,0.0,2.0,2.0,0.0
