iteration,bestp_stance_freq,bestp_swing_freq,bestp_a_param,bestp_lambda_cpl,bestp_A_front,bestp_A_back,bestp_A_hip,candidate_speed,best_speed,max_ei,median_sigma,mll
0,5.266724615007941,3.335217560899169,17.165282396889435,0.7128330559920315,1.947605947228919,1.5679849909060966,0.9981994233554012,0.0269999301897819,0.0269999301897819,,,
1,5.278956770896912,3.004909873008728,16.063930690288544,0.7260067462921143,1.815049409866333,1.3274900913238523,0.9271478652954102,0.0050556503414493,0.0269999301897819,-6.503910542755721,0.0060508753847266,-1.3859767175828204
2,5.462316513061523,3.3372395038604736,17.407893538475037,0.7159570455551147,1.977960586547852,1.589909553527832,0.973774254322052,-0.0012253719688843,0.0269999301897819,-8.126142531799669,0.0070536915428476,-1.4426152392266869
3,5.235049724578857,3.3387200832366943,17.138380706310272,0.7121597528457642,1.944215178489685,1.5671600103378296,1.0029376745224,0.0022988774180602,0.0269999301897819,-8.696190440785887,0.0075728197576811,-1.5140741530176776
4,3.0359466075897217,5.356343865394592,19.469446539878845,0.9041302800178528,0.9253405928611756,0.5081091523170471,1.1277683973312378,0.0003278617324612,0.0269999301897819,-13.042942112561322,0.0074717484102677,-1.589625211294574
5,2.001326322555542,5.793476343154907,13.219034969806671,0.2244888246059417,1.8354605436325075,0.2884457111358642,0.7711782455444336,0.0106662787620701,0.0269999301897819,-12.77895122324825,0.0073988463261846,-1.5702382320877182
6,3.575228691101074,3.883036494255066,11.105631291866302,0.6295108795166016,1.911723256111145,0.7481973767280579,1.1718721389770508,-0.0004805946561612,0.0269999301897819,-13.061682450479356,0.0073577496717344,-1.5511527385011403
7,5.903749465942383,0.9529670476913452,19.77904319763184,0.6405456066131592,1.4795445203781128,0.5070533156394958,0.4575537443161011,0.0087822618059805,0.0269999301897819,-13.306052072109424,0.0073072935924834,-1.5356512717740889
8,5.460728645324707,2.8417439460754395,18.70890885591507,0.0185327753424644,1.4376991987228394,0.3847469687461853,0.5281800627708435,0.0060857650860386,0.0269999301897819,-13.416553887352702,0.0072353826715389,-1.560631656463244
9,1.864879846572876,4.823363900184631,8.564913272857666,0.4690112471580505,0.752615749835968,1.7078654766082764,0.5666602849960327,0.0016727234889269,0.0269999301897819,-13.487567336649684,0.0071396718461783,-1.5442801819651475
10,3.362252354621887,3.116782665252685,10.610226839780807,0.8865822553634644,1.026555418968201,1.1117480993270874,1.4133763313293457,0.004036027530926,0.0269999301897819,-13.727119728871797,0.0070640289906727,-1.5287462320899246
11,2.88945472240448,4.304498076438904,10.449738204479218,0.9190784096717834,1.272951602935791,1.29590106010437,1.4957554340362549,0.0081453164940946,0.0269999301897819,-13.8144518601757,0.006973970024552,-1.5205489261613625
12,5.50644850730896,0.659571647644043,15.647184252738953,0.6969330310821533,1.6728636026382446,0.3964367210865021,0.4775174856185913,0.0054519386156813,0.0269999301897819,-14.007501389560986,0.006906062541491,-1.506456043390401
13,3.0289456844329834,2.565943121910095,6.303805597126484,0.6618952751159668,0.5838398933410645,1.5543017387390137,0.1870650053024292,-0.0138132382335612,0.0269999301897819,-14.153835697611648,0.0068218947501718,-1.4931383454278715
14,1.3597660660743711,3.660353064537048,11.606567353010178,0.0963025540113449,1.7918243408203125,1.5945769548416138,1.0797617435455322,0.0072834530743359,0.0269999301897819,-13.465337282973683,0.0073190053199831,-1.4767107433360955
15,2.1330935955047607,3.8100972175598153,5.6980768032372,0.1219117566943168,1.8324003219604488,0.0651819258928299,0.8301423788070679,0.0067313991862512,0.0269999301897819,-13.55003487564504,0.0072459319936735,-1.4645802378832575
16,5.509929299354553,3.010109066963196,16.925572454929352,0.0182001069188117,1.5400145053863523,0.5261605978012085,0.5557818412780762,0.0077861165136074,0.0269999301897819,-13.63940584639947,0.0071706860369702,-1.4530112937832358
17,4.283605098724365,5.028824329376221,17.547587454319,0.4461216330528259,0.2897107005119324,0.534909188747406,0.1094097569584846,0.0023461195012984,0.0269999301897819,-13.715911066369127,0.0071063910276391,-1.44191061931657
18,5.282310605049133,5.468406915664673,17.600521743297577,0.0989522412419319,1.5534088611602783,0.2038546055555343,0.4425861835479736,0.0003386849109565,0.0269999301897819,-13.864028698477808,0.0070366901416208,-1.4312913032856778
19,3.763141751289368,1.4749335944652555,9.466674625873566,0.5913933515548706,1.8875879049301147,0.6857155561447144,1.1411144733428955,0.0134970989807364,0.0269999301897819,-13.99725280273426,0.0069884495294745,-1.4209909027977217
20,2.277464210987091,3.4585461616516118,5.114343464374542,0.0165111906826496,1.718539118766785,0.262802243232727,0.9620092511177064,-0.012090643862992,0.0269999301897819,-13.8404293335334,0.0070336071490391,-1.4095698357293986
21,1.6001359820365906,4.975777745246887,10.978352427482603,0.1797681152820587,1.790972352027893,1.384929656982422,1.0735247135162354,0.0142101834373832,0.0269999301897819,-13.441007888346068,0.0073547190846887,-1.397957223727493
22,3.2783710956573486,5.281518816947937,10.786633938550947,0.9647734761238098,1.092430830001831,1.1099239587783811,1.4167137145996094,0.0175869101665082,0.0269999301897819,-13.26277650886404,0.0074105179043624,-1.38834523364009
23,3.3396931886672974,3.266050100326538,10.038054436445236,0.0496981218457222,1.4920716285705566,1.485013723373413,1.5439656972885132,0.0011968662539938,0.0269999301897819,-13.007654828133951,0.007557118106397,-1.3667032802983672
24,3.162027597427368,2.157718062400818,16.44423931837082,0.4941757917404175,1.2120126485824585,0.0426267459988594,1.8232409954071045,0.0068337827787717,0.0269999301897819,-13.157584155734533,0.0075004090104266,-1.3586372964977538
25,4.471258521080017,2.153947412967682,19.134038984775543,0.3006176054477691,0.2776622772216797,0.857114851474762,0.0251681674271821,0.0054679229674652,0.0269999301897819,-13.185690731307655,0.0074348390003741,-1.350960762167838
26,4.193581223487854,0.1844074577093124,18.838236927986145,0.4015392065048218,0.4020672738552093,0.5978984236717224,0.2364216446876526,-0.0001883130736879,0.0269999301897819,-13.3363989942073,0.0073662828813976,-1.3435615962559004
27,1.184083342552185,4.795699954032898,13.217760026454926,0.2029241174459457,1.713799238204956,1.5064228773117063,1.4196898937225342,0.0094499548748097,0.0269999301897819,-13.43667736875442,0.0073291369437732,-1.3362568273011866
28,5.900874853134155,0.5298842936754227,14.742695093154907,0.5263631343841553,1.4833296537399292,0.5019315481185913,0.4583821892738342,0.0039333175655327,0.0269999301897819,-13.390507285342547,0.0072907052659129,-1.3291906177452553
29,5.897739171981812,4.601242661476135,16.72296017408371,0.2530467808246612,1.5276272296905518,0.5030500292778015,0.6882032752037048,0.0047534529402208,0.0269999301897819,-13.532349929825918,0.0072273124491315,-1.3350014175784402
30,5.769302487373352,2.6611910462379456,17.025946974754333,0.7400946617126465,1.7748521566390991,1.538938045501709,0.9928385019302368,0.0078517286951214,0.0269999301897819,-13.636378274790694,0.0071647371857442,-1.328343684668953
31,1.8626459240913391,3.721901535987854,12.341683954000471,0.9173449873924256,1.8421411514282229,1.5190682411193848,1.2378041744232178,0.0153880780477721,0.0269999301897819,-13.66292909138864,0.0071149660303819,-1.3218430906752154
32,1.5126163959503174,5.9006699323654175,13.508402407169342,0.5396920442581177,1.8483827114105225,0.5101004838943481,0.7681541442871094,0.0098117967070788,0.0269999301897819,-13.439718437352768,0.0071842152433258,-1.314903797380142
33,1.4398111402988434,3.946744680404663,12.259507775306702,0.194471925497055,1.5702158212661743,1.462368369102478,1.1838375329971311,0.0135231373758374,0.0269999301897819,-13.467471990322313,0.0071514098510297,-1.3087499189504626
