iteration,bestp_stance_freq,bestp_swing_freq,bestp_a_param,bestp_lambda_cpl,bestp_A_front,bestp_A_back,bestp_A_hip,candidate_speed,best_speed,max_ei,median_sigma,mll
0,5.130012520035549,1.155245770644357,13.738956498894275,0.0119609692011657,1.8040595297717328,0.9611989466235304,0.5154777739805607,0.0198729577636613,0.0198729577636613,,,
1,5.551948070526123,0.8397738933563232,13.708285093307495,0.0,1.8315529823303225,0.9620775580406188,0.5001561045646667,0.011576186609622,0.0198729577636613,-7.58171835738892,0.0056274062770645,-1.4229991502220978
2,4.916251301765442,1.527045965194702,13.814416527748108,0.0441662408411502,1.6727511882781982,1.0243228673934937,0.5940722227096558,0.0220698729589122,0.0220698729589122,-6.653106016274395,0.0053693529446189,-1.3854531206771905
3,4.782243847846985,1.632452666759491,13.800308108329771,0.0751033425331115,1.5446884632110596,1.0632041692733765,0.6372363567352295,0.0205042331355999,0.0220698729589122,-6.981530894322264,0.0053177946657009,-1.289042196216074
4,4.868877053260803,2.173915565013885,14.362019002437592,0.0757040902972221,1.7490930557250977,1.0525728464126587,0.3035989701747894,0.0173197933473995,0.0220698729589122,-7.383931462202231,0.005465884348428,-1.242323204327178
5,4.871701955795288,1.0258852243423462,13.242895007133484,0.0106575386598706,1.612126350402832,0.9998649954795836,0.8537770509719849,0.0106834894792581,0.0220698729589122,-6.868064551790351,0.0058137655801275,-1.223360196482858
6,4.836046814918518,1.7859138250350952,14.18277144432068,0.0691223442554473,1.6569364070892334,1.0509034395217896,0.5335991382598877,0.0231316600534306,0.0231316600534306,-7.216068737378124,0.006874434947922,-1.295750028053147
7,4.789180397987366,1.955722153186798,14.676396250724792,0.0930600017309188,1.651561260223389,1.0713067054748535,0.5219970941543579,0.0240871090385796,0.0240871090385796,-7.454594435112471,0.0069881063187126,-1.2311788852231773
8,4.7587326765060425,2.0060768723487854,15.25766134262085,0.1125446334481239,1.65432870388031,1.0756428241729736,0.5191935896873474,0.0236483074788878,0.0240871090385796,-7.232456415069144,0.0070422674021723,-1.1667212443906172
9,4.752019286155701,2.642508029937744,15.216332972049711,0.0239752102643251,1.6411147117614746,1.200655460357666,0.5193823575973511,0.0211362241630615,0.0240871090385796,-7.449639828944149,0.0070807158863648,-1.1131479826777937
10,4.778296709060669,1.2241454422473907,14.504960179328918,0.1337410658597946,1.7414402961730957,0.9552892446517944,0.5324038863182068,0.0214386554585473,0.0240871090385796,-7.57543058227396,0.0082348008709692,-1.1033669435904698
11,4.908837676048279,2.811491131782532,15.933944582939148,0.1374475061893463,1.5305651426315308,1.130974054336548,0.5181776881217957,-0.0014337098043479,0.0240871090385796,-7.508903573828469,0.0084525052983758,-1.0811144534956791
12,4.777370095252991,1.8202879428863523,14.901111721992493,0.086497887969017,1.685180425643921,1.0640058517456057,0.5452072024345398,0.0220846987894986,0.0240871090385796,-7.3332180286326,0.0090818113778017,-1.226977020934737
13,4.750079870223999,2.0707620978355408,13.671001493930817,0.0589807853102684,1.640271782875061,1.1751950979232788,0.5731862783432007,0.019486482231362,0.0240871090385796,-7.40888403861807,0.0089787982272074,-1.1831453185941965
14,4.860329389572144,1.7465620636940002,14.876661598682404,0.1071410477161407,1.6586607694625854,0.9818171262741088,0.4925065636634826,0.0225746109239569,0.0240871090385796,-7.406903387597104,0.0092511561118813,-1.1731213898152746
15,4.919854044914246,2.0319414138793945,14.917515218257904,0.0,1.6404961347579956,1.0931609869003296,0.5041182041168213,0.0151164527382602,0.0240871090385796,-7.78601909910684,0.0093440228937849,-1.1595033759409004
16,4.947697162628174,1.3467457294464111,13.656935095787048,0.0727683678269386,1.7841322422027588,0.9800180196762084,0.4495576918125152,0.0216147851919493,0.0240871090385796,-7.327771143126587,0.0092972669785125,-1.1266306481627382
17,4.723959803581238,1.9089417457580569,15.66904515028,0.1101030185818672,1.613477110862732,1.038440465927124,0.6042520403862,0.0220530153316184,0.0240871090385796,-7.445230388349884,0.0093824424674019,-1.1068538418604643
18,4.692464232444763,1.8558740615844729,14.38658356666565,0.11239555478096,1.6313203573226929,1.1265194416046145,0.6120544672012329,0.0182508029159466,0.0240871090385796,-8.222384213855458,0.009479261258078,-1.1012909467486378
19,4.794901371002197,1.9967177510261536,15.520919263362885,0.093046098947525,1.6217247247695925,0.9999347925186156,0.5122843980789185,0.0235127650263482,0.0240871090385796,-8.32525321005004,0.0094626974477193,-1.081363904184503
20,4.847540616989136,1.3876377940177915,13.97323191165924,0.0709843710064888,1.6599348783493042,0.9332321286201476,0.568804144859314,0.0216050243969593,0.0240871090385796,-7.599170970594643,0.0095654373287507,-1.050729044057592
21,5.005139708518982,1.9758673310279848,15.17404079437256,0.0958841443061828,1.5921366214752195,1.0233711004257202,0.5129467248916626,0.0236418277545218,0.0240871090385796,-8.220284423450938,0.0096054471800856,-1.0254667442317995
22,4.267115950584412,1.991781949996948,15.293273031711578,0.0958278775215148,1.5896049737930298,1.0212838649749756,0.5027704834938049,0.0215805487816388,0.0240871090385796,-7.969889510406979,0.009678327374263,-0.9842086925492392
23,5.282605648040772,1.9458807706832888,16.364043056964874,0.0971886366605758,1.6510518789291382,0.9467703104019164,0.4976930022239685,0.0235945471021718,0.0240871090385796,-7.49098214104874,0.0096611508880885,-0.9256316163496086
24,5.443961977958679,1.9543799757957456,15.672656297683716,0.0969159379601478,1.706838607788086,1.0155779123306274,0.5123265981674194,0.0245147795881568,0.0245147795881568,-8.102619745332733,0.0097646806508134,-0.9267230003307256
25,5.766982197761536,1.9570502042770384,15.749586522579191,0.09688600897789,1.755967140197754,1.0194135904312134,0.512600302696228,0.0268376266809682,0.0268376266809682,-8.184075385568363,0.00983794091308,-0.8919223108929232
26,6.0,1.98139750957489,15.723959803581238,0.0967636927962303,2.0,1.0284744501113892,0.5199688076972961,0.0273205872668916,0.0273205872668916,-8.77466763013347,0.0099717719895585,-0.8639693973070256
27,6.0,1.988183319568634,14.318020939826964,0.0964614152908325,2.0,1.0248123407363892,0.5237836241722107,0.027220936209003,0.0273205872668916,-9.090290072508996,0.0100942549451078,-0.835425905596164
28,6.0,1.9855220317840576,13.422435820102692,0.0969017073512077,2.0,1.0253816843032837,0.5226192474365234,0.0271608396738921,0.0273205872668916,-9.043261087880545,0.0102063657397637,-0.8067172007479656
29,6.0,1.988717794418335,16.98042184114456,0.0965732485055923,2.0,1.0326595306396484,0.5202685594558716,0.0275287941154965,0.0275287941154965,-8.863160669455928,0.0103021839140908,-0.7773102659412834
