iteration,candidate_speed,cand_stance_freq,cand_swing_freq,cand_a_param,cand_lambda_cpl,cand_A_front,cand_A_back,cand_A_hip,bestp_stance_freq,bestp_swing_freq,bestp_a_param,bestp_lambda_cpl,bestp_A_front,bestp_A_back,bestp_A_hip,max_ei,median_sigma,mll
0,0.0215766712901975,3.636653108095854,4.023633000224162,12.78824180359237,0.6722256895291046,1.9105988857933007,0.8320138995369807,1.3633862367116345,3.636653108095854,4.023633000224162,12.78824180359237,0.6722256895291046,1.9105988857933007,0.8320138995369807,1.3633862367116345,,,
1,0.0247630699274878,3.261777877807617,3.663386821746826,11.465266793966292,0.6650044918060303,1.7645819187164309,1.360373616218567,0.8068583011627197,3.261777877807617,3.663386821746826,11.465266793966292,0.6650044918060303,1.7645819187164309,1.360373616218567,0.8068583011627197,-5.270754512027144,0.0042178328997637,-1.1200499141216516
2,0.0355066587196479,3.4430898427963257,3.68623960018158,11.670396775007248,0.6717169880867004,1.8293377161026,1.5482807159423828,0.632156491279602,3.4430898427963257,3.68623960018158,11.670396775007248,0.6717169880867004,1.8293377161026,1.5482807159423828,0.632156491279602,-6.896710731354013,0.0039952751791173,-1.0220629157912449
3,0.0377607187517207,3.5179123878479004,3.73641836643219,12.286424189805984,0.6937161684036255,1.8777618408203125,1.627294659614563,0.4740787744522095,3.5179123878479004,3.73641836643219,12.286424189805984,0.6937161684036255,1.8777618408203125,1.627294659614563,0.4740787744522095,-6.48821787020167,0.0059278270181933,-1.125874143205551
4,0.0383498113485312,3.644859552383423,3.792560935020447,13.057722449302672,0.719455897808075,1.945680260658264,1.6482980251312256,0.3490458130836487,3.644859552383423,3.792560935020447,13.057722449302672,0.719455897808075,1.945680260658264,1.6482980251312256,0.3490458130836487,-6.700144114906493,0.0058805887159677,-1.0031587637772572
5,0.0235878242018511,3.667512059211731,3.839171290397644,13.3976012468338,0.7311782836914062,1.9722504615783687,1.6511751413345337,0.2992715835571289,3.667512059211731,3.839171290397644,13.3976012468338,0.7311782836914062,1.9722504615783687,1.6511751413345337,0.2992715835571289,-7.307665415273559,0.0058032146916949,-0.9048004068911548
6,0.0433014261395931,3.582330822944641,3.787254810333252,12.789295017719269,0.7170788049697876,1.9212782382965088,1.6616952419281006,0.3990187048912048,3.582330822944641,3.787254810333252,12.789295017719269,0.7170788049697876,1.9212782382965088,1.6616952419281006,0.3990187048912048,-5.987686463850151,0.0102914855514088,-1.3027406463508044
7,0.0465434318003701,3.490763783454895,4.030816555023193,12.772551774978638,0.7607817649841309,1.9444457292556765,1.6988312005996704,0.4717113375663757,3.490763783454895,4.030816555023193,12.772551774978638,0.7607817649841309,1.9444457292556765,1.6988312005996704,0.4717113375663757,-7.307491060400586,0.0126813918343234,-1.286127071975255
8,0.0279981311750487,3.3099889755249023,4.429820895195007,12.77724027633667,0.8256955742835999,1.9835784435272217,1.7481170892715454,0.5798032283782959,3.3099889755249023,4.429820895195007,12.77724027633667,0.8256955742835999,1.9835784435272217,1.7481170892715454,0.5798032283782959,-6.975586751600336,0.0128685152708087,-1.213333585962203
9,0.0451629641203614,3.52517831325531,3.955493330955506,12.742167711257936,0.7477348446846008,1.936047434806824,1.677094340324402,0.4737529456615448,3.52517831325531,3.955493330955506,12.742167711257936,0.7477348446846008,1.936047434806824,1.677094340324402,0.4737529456615448,-7.512521561626047,0.0151054281348534,-1.3072158483824663
10,0.0419755817582619,3.528182029724121,4.025816559791565,12.9121071100235,0.7584572434425354,1.9567525386810305,1.698197841644287,0.4414650797843933,3.528182029724121,4.025816559791565,12.9121071100235,0.7584572434425354,1.9567525386810305,1.698197841644287,0.4414650797843933,-7.318841067993879,0.0152833611674327,-1.2215130703989967
11,0.0431609848856125,3.485782742500305,3.966427803039551,12.642141878604887,0.7528374791145325,1.9296371936798096,1.7490168809890747,0.4090294241905212,3.485782742500305,3.966427803039551,12.642141878604887,0.7528374791145325,1.9296371936798096,1.7490168809890747,0.4090294241905212,-8.301185132085616,0.0163711771453087,-1.1956255724491056
12,0.032535042961174,3.5416277647018437,3.932502150535584,12.753909528255464,0.7359376549720764,1.9288524389266968,1.565978765487671,0.5850826501846313,3.5416277647018437,3.932502150535584,12.753909528255464,0.7359376549720764,1.9288524389266968,1.565978765487671,0.5850826501846313,-7.459718413699429,0.0168371498492657,-1.1531123693407808
13,-0.0016765036140678,3.906175017356873,3.338238000869751,12.725629210472109,0.6937981247901917,1.8693469762802124,1.6130324602127075,0.4621143341064453,3.906175017356873,3.338238000869751,12.725629210472109,0.6937981247901917,1.8693469762802124,1.6130324602127075,0.4621143341064453,-7.256894588949185,0.0166676691553846,-1.124318902078119
14,0.0469548195308186,3.406903982162476,3.978378653526306,12.357322126626968,0.7520617842674255,1.9067437648773196,1.73327374458313,0.467836320400238,3.406903982162476,3.978378653526306,12.357322126626968,0.7520617842674255,1.9067437648773196,1.73327374458313,0.467836320400238,-7.18443487547506,0.0168450125020555,-1.1794692487033411
15,0.0433479182189109,3.3330506086349487,3.963847517967224,12.034721672534944,0.7506728172302246,1.8801270723342896,1.7739335298538208,0.4634742736816406,3.3330506086349487,3.963847517967224,12.034721672534944,0.7506728172302246,1.8801270723342896,1.7739335298538208,0.4634742736816406,-7.353538246256946,0.0173517238671467,-1.1202388170406334
16,0.0473817092547197,3.40589439868927,4.013873934745789,12.468919456005096,0.7561467289924622,1.917651653289795,1.7113791704177856,0.4804717600345611,3.40589439868927,4.013873934745789,12.468919456005096,0.7561467289924622,1.917651653289795,1.7113791704177856,0.4804717600345611,-7.927279808327357,0.0177146658320679,-1.1107762027459596
17,0.0462437755581378,3.346771359443665,4.037479519844055,12.444223016500471,0.7538910508155823,1.9145469665527344,1.6866638660430908,0.486830860376358,3.346771359443665,4.037479519844055,12.444223016500471,0.7538910508155823,1.9145469665527344,1.6866638660430908,0.486830860376358,-7.639405338554042,0.0181467199827113,-1.0584222356929711
18,0.0335905849765787,3.0350089073181152,3.71005117893219,10.66406548023224,0.5892326235771179,1.7433650493621826,1.7279752492904663,0.6634756922721863,3.0350089073181152,3.71005117893219,10.66406548023224,0.5892326235771179,1.7433650493621826,1.7279752492904663,0.6634756922721863,-7.739671525825057,0.0184802055605921,-1.0037501159015527
19,0.0452130588053258,3.697518467903137,4.006429553031921,12.472760826349258,0.788402795791626,1.940521001815796,1.87934684753418,0.4824503660202026,3.697518467903137,4.006429553031921,12.472760826349258,0.788402795791626,1.940521001815796,1.87934684753418,0.4824503660202026,-7.67861744535764,0.0184431414828502,-0.9955095118987356
20,0.0399128585848549,2.975555777549744,3.986496090888977,12.48296171426773,0.6993935108184814,1.8802977800369265,1.4402552843093872,0.4711290001869201,2.975555777549744,3.986496090888977,12.48296171426773,0.6993935108184814,1.8802977800369265,1.4402552843093872,0.4711290001869201,-7.718959231430085,0.0186857373262089,-0.9533571749694626
