iter,max_ei,median_sigma,mll
1,-6.522365127593722,0.005055707613118504,-1.273208633088303
2,-6.8333671421001885,0.00839559050117399,-1.467073910137569
3,-8.506933957299207,0.00911869071295587,-1.459121966771652
4,-8.390546900325873,0.00940809100818779,-1.4578413708457474
5,-8.186683133083335,0.009412594149571579,-1.4834113720536222
6,-9.809449735511704,0.00927379555091244,-1.4779305795384277
7,-10.619657511911017,0.009465840707396155,-1.4958783618438047
8,-10.983390046618949,0.009387751970566606,-1.4947171474528003
9,-9.916998851504646,0.010702112068395608,-1.4660117067765908
10,-12.524238149054423,0.010617935898365438,-1.4541108019624385
11,-12.368509977169115,0.010481002463695772,-1.440204733216505
12,-9.16877040276692,0.011060804064994038,-1.3896295733517774
13,-11.434443703098472,0.010951452906859442,-1.3926987677135414
14,-9.840123391769888,0.011829611827464717,-1.350404779300921
15,-11.316769896112923,0.013135681706700491,-1.3303670476641212
16,-10.331390253526052,0.013284486647694271,-1.3334641426100675
17,-11.872259509626593,0.013466315067800768,-1.3236501990629261
18,-11.681457128951104,0.013382529877327869,-1.3295588420221578
19,-12.115127210448874,0.01336709029168464,-1.3249143757993485
20,-12.869536834687596,0.014798488633783252,-1.280684372770564
21,-12.28754458521701,0.015701751920422054,-1.2642217079789178
22,-11.243703368697059,0.016835327230992004,-1.2297144442706567
23,-10.486421059304575,0.016672052892719943,-1.22482570676801
24,-11.539600983227496,0.017732968630329804,-1.1897567040372083
25,-10.500564091073365,0.018349337303601904,-1.1693590827740492
26,-10.991967041025376,0.01817888401694319,-1.1653269147548504
27,-11.447957771799524,0.018042678858045922,-1.16593908578585
28,-10.027772773709103,0.017900687453159144,-1.1772844095377537
29,-11.606557054010986,0.017877309725962034,-1.1845422306372537
30,-10.475080450636,0.0184017419027115,-1.1813524624996283
31,-10.697060510061629,0.01875646128908769,-1.174848366338445
32,-11.155491946550578,0.01862609031470093,-1.1709982652967985
33,-10.956835402007101,0.01849950748650008,-1.1732871998240166
34,-11.189329063736679,0.01853412916461239,-1.1701741632812068
35,-11.159225684199901,0.01844855013605403,-1.1663928811873396
36,-11.007182611112798,0.018361654984940023,-1.1627724917186661
37,-11.201891727568416,0.01827373813270782,-1.1593441804261655
38,-11.315067007715156,0.01813571505805713,-1.1563793701408347
39,-11.56288705967006,0.018020177453814307,-1.1523667159983195
40,-11.638305891554591,0.017937046874343665,-1.1491766497234428
41,-11.12187428560877,0.01845970953826158,-1.1357363744429183
42,-9.725583593101664,0.018333672685172057,-1.1297782789966218
43,-11.287265710606533,0.018226677782056507,-1.1346796468343316
44,-11.272211068216738,0.018538728788034507,-1.1352503027836678
45,-11.193295489623274,0.018501903512237603,-1.1325496567843378
46,-10.844212446800107,0.018445615015279644,-1.1295421916514476
47,-11.472962368439305,0.018460578587067435,-1.1171028530855251
48,-11.472551097871373,0.018436727133903902,-1.1313093895752706
49,-11.399908939648295,0.01843418702139222,-1.1378542677458772
50,-11.288669602186852,0.018345943324035625,-1.1352429199781913
51,-11.504445570663318,0.018243804641178852,-1.1329205847831378
52,-11.390494507543863,0.01815013625118172,-1.1305333203269967
53,-11.654653200320674,0.018039003797750263,-1.1281851579722606
54,-11.533386238001093,0.018020574903117374,-1.126374012440455
55,-11.3600546917894,0.018453580871146333,-1.129062657564915
56,-11.312978656516265,0.01838564911330694,-1.1275678658423736
57,-11.174573062687807,0.01875996762390021,-1.1082970929619123
58,-10.861907202727402,0.018681194059324665,-1.1000260585682107
59,-10.862966358949752,0.01863467881128133,-1.0978287788559147
60,-10.75499976049018,0.018535688517065326,-1.096070199836483
61,-10.480951807093092,0.019048720449161602,-1.0776699877582614
62,-11.168029581342736,0.01894469827960345,-1.0760606317348347
63,-10.560647862327553,0.01894080297798442,-1.0739852615059178
64,-11.212080930099656,0.018850562956468347,-1.0725146824997704
65,-11.30159930092698,0.018816154105388713,-1.07134413621418
66,-11.313201737200723,0.018753360374935985,-1.0692942079329568
67,-11.177678495981914,0.018727617543721483,-1.0661552634368858
68,-11.345154513188143,0.018642484137079477,-1.064977277739476
69,-10.910613612661347,0.01862685260908846,-1.0637396190815729
70,-11.16166416984695,0.01891205368665183,-1.057557656932059
71,-10.364311036031172,0.019007102860677916,-1.0021690940172667
72,-11.212299250596844,0.018913571420375964,-1.054668424120147
73,-11.062677621127733,0.018820125368660488,-1.0452973092341185
74,-10.656914777520111,0.019199576189286128,-1.0426677430501619
75,-10.956674196279643,0.019115467987279134,-1.0416162386755246
76,-11.14649387873299,0.019555465598825893,-1.0307807686734767
77,-10.988527565036094,0.019479034209299168,-1.028797561437132
78,-10.737734041781591,0.01961249233476242,-0.9904703617535895
79,-11.134746839397895,0.019533689240393275,-1.0057363229471599
80,-10.745913250627861,0.019490858256502215,-1.0051835145985488
81,-11.092828548367157,0.019635659104287943,-1.0011698111265528
82,-10.987068824877388,0.019548890894293392,-1.0005768669312207
83,-10.486585002146157,0.019816744205396426,-0.9912837381773463
84,-10.255881580632241,0.02014205364007583,-0.9774592024131269
85,-10.771908035992226,0.020129278584442994,-0.9880989930721985
86,-10.437255041791662,0.02005877121423463,-0.9881439010401093
87,-10.91255258127712,0.019988012570191227,-0.98790629030112
88,-10.399826150154741,0.01990486750574995,-0.9870259733983552
89,-10.822250601577956,0.019829837843684014,-0.9860825586415292
90,-10.425886332072887,0.0197867594060598,-0.9857804517495412
91,-10.766416695328473,0.019716285370317974,-0.9848738420668066
92,-11.07149089483582,0.019633984812717102,-0.9849861984239657
93,-11.00292725991805,0.019560894992295238,-0.9847688393003948
