iteration,candidate_speed,cand_stance_freq,cand_swing_freq,cand_a_param,cand_lambda_cpl,cand_A_front,cand_A_back,cand_A_hip,bestp_stance_freq,bestp_swing_freq,bestp_a_param,bestp_lambda_cpl,bestp_A_front,bestp_A_back,bestp_A_hip,max_ei,median_sigma,mll
0,0.0328792670253961,4.743918248402792,2.702961805113673,12.50963140009938,0.1679447602112071,1.4850140039484312,1.4972515429635045,0.5148739197303086,4.743918248402792,2.702961805113673,12.50963140009938,0.1679447602112071,1.4850140039484312,1.4972515429635045,0.5148739197303086,,,
1,-0.0038294664056474,5.04008424282074,2.8829246163368225,11.559434235095978,0.1777997016906738,1.5560027360916138,1.415338158607483,0.4802439510822296,5.04008424282074,2.8829246163368225,11.559434235095978,0.1777997016906738,1.5560027360916138,1.415338158607483,0.4802439510822296,-6.66740572484992,0.0050555741482447,-1.273208633088303
2,0.0015626837802713,4.922941446304321,2.547768652439117,12.523791193962095,0.1223482489585876,1.5138894319534302,1.4977058172225952,0.5081045627593994,4.922941446304321,2.547768652439117,12.523791193962095,0.1223482489585876,1.5138894319534302,1.4977058172225952,0.5081045627593994,-7.699188647019293,0.0089137619682406,-1.517374939279156
3,6.586564347417009e-05,4.7136136293411255,2.7347288131713867,12.491472363471985,0.1767742037773132,1.4816138744354248,1.5029828548431396,0.5041940808296204,4.7136136293411255,2.7347288131713867,12.491472363471985,0.1767742037773132,1.4816138744354248,1.5029828548431396,0.5041940808296204,-6.713564318463532,0.0081271890648775,-1.4505974313517631
4,0.0048160587162274,1.0025597512722015,4.252507209777832,5.328934211283922,0.7143045663833618,1.2996729612350464,0.8679160475730896,1.871867656707764,1.0025597512722015,4.252507209777832,5.328934211283922,0.7143045663833618,1.2996729612350464,0.8679160475730896,1.871867656707764,-13.265263648122016,0.0088167136530468,-1.6448653260910338
5,-0.0007444855315107,1.8862937092781067,1.8675443530082705,9.545441716909409,0.3472744822502136,1.0995523929595947,1.6487483978271484,1.838968276977539,1.8862937092781067,1.8675443530082705,9.545441716909409,0.3472744822502136,1.0995523929595947,1.6487483978271484,1.838968276977539,-13.464227534002909,0.0086824625736827,-1.6239372330836386
6,0.0038077118542467,4.772570013999939,4.114046216011047,6.067712306976318,0.7856244444847107,0.4575386047363281,1.3743609189987185,0.4982556700706482,4.772570013999939,4.114046216011047,6.067712306976318,0.7856244444847107,0.4575386047363281,1.3743609189987185,0.4982556700706482,-13.53927384176869,0.0086139383247241,-1.6041107453598251
7,0.0069550492465177,1.8702971935272217,4.476244211196899,13.831382393836977,0.8061298131942749,0.5545600652694702,1.108792781829834,1.857724905014038,1.8702971935272217,4.476244211196899,13.831382393836977,0.8061298131942749,0.5545600652694702,1.108792781829834,1.857724905014038,-13.570649289009928,0.0084926955301731,-1.5854911319977054
8,0.0089284852974485,2.1535184383392334,4.376728177070618,15.967389941215515,0.8292219042778015,0.6413927674293518,1.093269109725952,1.8585004806518557,2.1535184383392334,4.376728177070618,15.967389941215515,0.8292219042778015,0.6413927674293518,1.093269109725952,1.8585004806518557,-13.999767797172495,0.0083797161101772,-1.5678697564014084
9,0.007841472207314,1.3683799803256989,4.409855246543884,6.159434020519257,0.8471304774284363,1.1725566387176514,1.1450698375701904,1.9200800657272337,1.3683799803256989,4.409855246543884,6.159434020519257,0.8471304774284363,1.1725566387176514,1.1450698375701904,1.9200800657272337,-14.105114637494184,0.0082888877309113,-1.5511289811788755
10,0.0074297172516161,1.7747899889945984,4.513759732246399,19.179749190807343,0.7852922081947327,0.7733646035194397,1.0797085762023926,1.6857988834381104,1.7747899889945984,4.513759732246399,19.179749190807343,0.7852922081947327,0.7733646035194397,1.0797085762023926,1.6857988834381104,-14.2380422185373,0.0081899448677229,-1.535292442297124
11,0.0093968365476062,1.8697850704193115,4.565219521522522,14.499451816082,0.8792158961296082,1.2507717609405518,1.0030505657196045,1.5981680154800415,1.8697850704193115,4.565219521522522,14.499451816082,0.8792158961296082,1.2507717609405518,1.0030505657196045,1.5981680154800415,-14.378577441954974,0.008091424097914,-1.5202661133945503
12,0.0068454033152862,1.6412485241889954,5.050770163536072,19.87847089767456,0.8197264671325684,1.4422599077224731,1.1637641191482544,1.9301018714904783,1.6412485241889954,5.050770163536072,19.87847089767456,0.8197264671325684,1.4422599077224731,1.1637641191482544,1.9301018714904783,-14.46421568980264,0.0080148326006144,-1.5059287105132713
