,best_speed
0,0.0328792670253961
1,0.0328792670253961
2,0.0328792670253961
3,0.0328792670253961
4,0.0328792670253961
5,0.0328792670253961
6,0.0328792670253961
7,0.0328792670253961
8,0.038605737065798465
9,0.038605737065798465
10,0.038605737065798465
11,0.038605737065798465
12,0.038605737065798465
13,0.038605737065798465
14,0.047396967509251604
15,0.047396967509251604
16,0.047396967509251604
17,0.047396967509251604
18,0.047396967509251604
19,0.05542934411837101
20,0.05542934411837101
21,0.056903694994886976
22,0.056903694994886976
23,0.05868317534526508
24,0.05868317534526508
25,0.05868317534526508
26,0.05868317534526508
27,0.05868317534526508
28,0.05868317534526508
29,0.05868317534526508
30,0.05868317534526508
31,0.05868317534526508
32,0.05868317534526508
33,0.05868317534526508
34,0.05868317534526508
35,0.05868317534526508
36,0.05868317534526508
37,0.05868317534526508
38,0.05868317534526508
39,0.05868317534526508
40,0.05868317534526508
41,0.05868317534526508
42,0.05868317534526508
43,0.05868317534526508
44,0.05868317534526508
45,0.05868317534526508
46,0.05868317534526508
47,0.05868317534526508
48,0.05868317534526508
49,0.05868317534526508
50,0.05868317534526508
51,0.05868317534526508
52,0.05868317534526508
53,0.05868317534526508
54,0.05868317534526508
55,0.05868317534526508
56,0.05868317534526508
57,0.05868317534526508
58,0.05868317534526508
59,0.05868317534526508
60,0.05980554179591715
61,0.05980554179591715
62,0.05980554179591715
63,0.05980554179591715
64,0.05980554179591715
65,0.05980554179591715
66,0.05980554179591715
67,0.05980554179591715
68,0.05980554179591715
69,0.05980554179591715
70,0.05980554179591715
71,0.05980554179591715
72,0.05980554179591715
73,0.05980554179591715
74,0.05980554179591715
75,0.06220231729032759
76,0.06220231729032759
77,0.06220231729032759
78,0.06220231729032759
79,0.06220231729032759
80,0.06220231729032759
81,0.06220231729032759
82,0.06220231729032759
83,0.06220231729032759
84,0.06220231729032759
85,0.06220231729032759
86,0.06220231729032759
87,0.06220231729032759
88,0.06220231729032759
89,0.06220231729032759
90,0.06220231729032759
91,0.06220231729032759
92,0.06220231729032759
93,0.06220231729032759
94,0.06220231729032759
95,0.06538740283978388
96,0.06538740283978388
97,0.06538740283978388
98,0.06538740283978388
99,0.06538740283978388
100,0.06538740283978388
