iter,max_ei,median_sigma,mll
1,-6.617998396598736,0.0052420897040026055,-1.2888338921171147
2,-6.734956601966325,0.005424268415394303,-1.238882545250996
3,-6.520621684700099,0.006516812956463959,-1.3278700354066306
4,-6.92225311317224,0.006630072803865584,-1.2757922315043724
5,-7.070860463858086,0.006661780825737955,-1.2068333062498033
6,-6.859343411664087,0.00673063188972249,-1.1393318976311861
7,-7.147531394979715,0.006742109882566429,-1.0697478268797393
8,-6.428422154642372,0.008296295672108846,-1.1666529700260533
9,-6.50964458534537,0.0058832216395553055,-0.9611036179877852
10,-6.7408927078132015,0.005899605433791804,-0.9060400145710736
11,-6.829420899137229,0.005950191120608478,-0.8586874752100723
12,-6.929976698103428,0.006301134563570056,-0.8692629937928874
13,-7.097029604568591,0.006216718085436592,-0.8233594778080944
14,-7.065277015606952,0.006132942628997553,-0.7830878907548132
15,-7.268788641542681,0.006082459787434677,-0.7453937894383678
16,-7.053034329751514,0.0071001662540101694,-0.8066854923484925
17,-6.8502910660340355,0.007028143872056479,-0.7692395230923665
18,-6.97384256762636,0.007039899715373469,-0.7298978366813691
19,-6.961369471635905,0.0069082021730020845,-0.6922413430947322
20,-7.0864603253066445,0.006948683723603204,-0.6559099065330666
21,-7.120324937081648,0.006884576265824657,-0.6205378072124784
22,-7.094667708245629,0.007495587048251031,-0.6643129827707719
23,-7.4283634667694,0.007470820891891995,-0.6330355632514368
24,-7.376642921568184,0.00736872275385086,-0.6078413306786082
25,-7.59873225650924,0.007614499710056901,-0.6084747970353525
26,-7.5366068880239,0.0075720930268729615,-0.5834448370787555
27,-7.640969109248672,0.007545522657740246,-0.5567437836527068
28,-7.629236528925421,0.00755382163303058,-0.5301078878157649
29,-7.652973923249462,0.007534089194221407,-0.5341547004313164
30,-7.6354947055488465,0.007404680665168774,-0.5094786347585161
31,-7.574528335899507,0.00745448831214364,-0.48454938090813277
32,-7.748208283985025,0.007534760027203504,-0.45957218789180326
33,-7.561223571727675,0.007468513445088005,-0.4348168840592289
34,-7.667041739050212,0.00745822683625666,-0.4116071368629102
35,-7.7514825561163185,0.007440775630177887,-0.38882828958326004
36,-7.611648229196565,0.007455235768034415,-0.3671588936749659
37,-7.645727128575434,0.007471506409062931,-0.348232629711635
38,-8.003534294907308,0.007436457861301666,-0.32720957093538033
39,-8.439338348159936,0.0075281779597742415,-0.3079903269787194
40,-8.65713130793986,0.007827789672483716,-0.3455027919547289
41,-7.895598405066477,0.007847143441223899,-0.3216865629162598
42,-9.961069477655638,0.00806221787676531,-0.319387142993076
43,-9.860799247600879,0.008349030528868004,-0.34412484571018803
44,-9.434941615053186,0.008394810990277828,-0.3301776554665357
45,-9.940253688250781,0.008343278191861094,-0.3092404631388768
46,-10.074361695836679,0.008404907327314746,-0.2880806372006738
47,-10.205122699319938,0.00845250358575685,-0.2666695490037127
48,-9.627266932846116,0.008392934997807345,-0.25766466026575674
49,-9.617976390098054,0.008375453265156308,-0.2621897772842415
50,-9.453283111288938,0.00847720052298425,-0.2639289569923921
51,-8.722931276802203,0.00903070775885212,-0.27103130727529856
52,-11.286161224546126,0.009100468771415673,-0.2648475832007904
53,-11.120563530236463,0.009210002032946226,-0.26211424648569603
54,-11.529880953108037,0.009056040915208112,-0.2620243330178245
55,-11.252572632278419,0.009191078958692816,-0.24095322736232408
56,-11.746745214373439,0.009186989439704089,-0.21109492280323466
57,-11.56021328439545,0.00924165302349332,-0.186727267390504
58,-11.471576032105956,0.009345499055576457,-0.16096751734706874
59,-11.306217238257721,0.009428585259780149,-0.13553789280100473
60,-11.24488259413991,0.009407115346344048,-0.11174587595101335
61,-10.916762064974565,0.009469887292450404,-0.08853524985315815
62,-10.928629194206582,0.009501283741542346,-0.06600324340212226
63,-10.87586638547143,0.009582574737085054,-0.04655897127544294
64,-10.829743215681086,0.009678567165189491,-0.06598511253231495
65,-10.742079624512776,0.009691749724227865,-0.04632617993741635
66,-10.987170576539237,0.009592776341012844,-0.06254151897913769
67,-11.241019133133955,0.009760713774547144,-0.07365462787418327
68,-11.055957652229026,0.00990765431750452,-0.05397677376925564
69,-11.065247026697335,0.009806759990244045,-0.06301351262709609
70,-10.927551781011076,0.009975326774546572,-0.04364403553625333
71,-11.077624636566672,0.00999790278549087,-0.07114923809518185
72,-10.93251479694796,0.0102823602822049,-0.09139137079461265
73,-10.775908081314856,0.010371910610939028,-0.07155391215486771
74,-10.676790096453042,0.010332474473205367,-0.05196733952657105
75,-10.912547623795756,0.010232974807248482,-0.06081018108035133
76,-10.879751976086688,0.010245471132040196,-0.042654324800300576
77,-10.878416500424782,0.010192585945173572,-0.04955010399522838
78,-10.952636143513654,0.010072301332169473,-0.051438664353793746
79,-10.933896687000075,0.010099010603797542,-0.03178051571262605
80,-10.854266649933633,0.010043039331438281,-0.014145867247296672
81,-10.859695157961466,0.010078161301007946,0.0009303341991032968
82,-10.961173295787441,0.010165584185494726,-0.011829084738929633
83,-11.060919343556598,0.010229244594701767,0.004567254741456298
84,-10.961790449486706,0.010307740050328086,-0.004401324304767474
85,-10.897837523520304,0.01023902327160373,0.012720146025861374
86,-10.474579437815146,0.010316534399950639,0.03491158764403959
87,-9.669216088656103,0.010330782804693335,0.05640877205927909
88,-11.705236589097861,0.010285156367099814,0.06529789954647357
89,-11.101660985746715,0.010323698665783646,0.08058067290830583
90,-11.661106408851552,0.010302529062716944,0.09736512564247757
91,-11.574877977010503,0.010309366422347897,0.11163231731557462
92,-11.421345365054052,0.010221040682287,0.12718821474959652
93,-11.421731520525173,0.010256932767119168,0.14186562236216407
94,-11.285874096055098,0.010281142281552934,0.1567785219371779
95,-10.723172508432803,0.0104381545924069,0.1745217013724227
96,-10.818844048004273,0.010345119634119873,0.18615617271724413
97,-11.642843993120318,0.0101071388317414,0.2041024154982518
98,-8.647072366103032,0.011323173736060912,0.13225339242178763
99,-8.219491437046859,0.011101338434765495,0.15099102759453167
100,-8.695804681999658,0.01120951979356726,0.1654710498893537
