,stance_freq,swing_freq,a_param,lambda_cpl,A_front,A_back,A_hip
0,3.791557405719388,0.8600811073684753,6.858268767648817,0.3170858868305141,1.8072311230752436,1.5837728080666524,0.7687783745428856
1,1.6592738628387451,0.0,20.0,0.8390271663665771,1.8816536664962769,0.6544845104217529,1.8238929510116577
2,6.0,2.6677127480506897,9.57930326461792,0.8797616958618164,1.6194138526916504,0.5731393098831177,1.8996309041976929
3,2.203198492527008,0.0,9.105266630649567,0.45922335982322693,1.5327112674713135,1.6086764335632324,0.6511937975883484
4,3.0259952545166016,3.5338858366012573,14.026783108711243,0.7479420304298401,1.6781662702560425,0.9250034093856812,1.7188901901245117
5,3.636663794517517,2.926182746887207,8.948743641376495,0.6292074918746948,1.7187747955322266,1.138114333152771,1.4471713304519653
6,4.204668402671814,3.138150215148926,15.312305986881256,0.7279731631278992,1.5904886722564697,1.278038501739502,1.6568748950958252
7,2.4309850931167603,3.653523087501526,18.13829392194748,0.7105574011802673,1.632894515991211,0.7492957711219788,1.8259239196777344
8,2.54570335149765,2.818977177143097,12.797607183456421,0.7902173399925232,1.5962088108062744,0.7984201312065125,1.5060077905654907
9,3.593496322631836,4.43396258354187,10.274222940206528,0.8362500071525574,1.7542998790740967,0.8311979174613953,1.8292213678359985
10,1.8160266280174255,4.998863339424133,12.338108122348785,0.780398964881897,1.7634825706481934,0.9456673860549927,1.762579083442688
11,3.546212911605835,2.926761031150818,7.929986119270325,0.759294867515564,1.6887986660003662,0.8178310990333557,1.906471848487854
12,5.75301468372345,3.9290363788604736,15.95119833946228,0.9301056265830994,1.9530085325241089,0.9019038677215576,1.2030949592590332
13,2.764355778694153,3.9942405223846436,13.473537266254425,0.9994946122169495,1.754183292388916,0.9136744141578674,1.8054455518722534
14,3.0500725507736206,4.033348917961121,14.611031711101532,0.5263382196426392,1.7763835191726685,0.7747330069541931,1.6968648433685303
15,2.9900976419448853,4.086453080177307,5.0,0.7523783445358276,1.6097939014434814,0.9081290364265442,0.8313199877738953
16,2.8531640768051147,4.187766194343567,9.070350974798203,0.6987844109535217,1.6333032846450806,0.9108703136444092,2.0
17,2.822098731994629,3.914507031440735,14.024140238761902,0.7273216247558594,1.9967303276062012,0.9269111752510071,1.9382503032684326
18,3.1071077585220337,4.144668459892273,19.922094345092773,0.7383874654769897,2.0,0.9730932712554932,2.0
