,best_speed
0,0.0328792670253961
1,0.0328792670253961
2,0.0328792670253961
3,0.0328792670253961
4,0.0347998453824762
5,0.0347998453824762
6,0.0347998453824762
7,0.0347998453824762
8,0.0347998453824762
9,0.0347998453824762
10,0.0347998453824762
11,0.0347998453824762
12,0.0347998453824762
13,0.0347998453824762
14,0.0347998453824762
15,0.0347998453824762
16,0.0347998453824762
17,0.0347998453824762
18,0.0347998453824762
19,0.0347998453824762
20,0.0347998453824762
21,0.0347998453824762
22,0.0347998453824762
23,0.0347998453824762
24,0.0347998453824762
25,0.0347998453824762
26,0.0347998453824762
27,0.0347998453824762
28,0.0347998453824762
29,0.0347998453824762
30,0.0347998453824762
31,0.0347998453824762
32,0.0347998453824762
33,0.0347998453824762
34,0.0347998453824762
35,0.0347998453824762
36,0.0347998453824762
37,0.0347998453824762
38,0.0347998453824762
39,0.0347998453824762
40,0.0347998453824762
41,0.0347998453824762
42,0.0347998453824762
43,0.0347998453824762
44,0.0347998453824762
45,0.0347998453824762
46,0.0347998453824762
47,0.0347998453824762
48,0.0347998453824762
49,0.0347998453824762
50,0.0347998453824762
51,0.0347998453824762
52,0.04463108263778632
53,0.04463108263778632
54,0.04463108263778632
55,0.04463108263778632
56,0.04463108263778632
57,0.04463108263778632
58,0.04463108263778632
59,0.04463108263778632
60,0.04463108263778632
61,0.04463108263778632
62,0.04463108263778632
63,0.04463108263778632
64,0.04463108263778632
65,0.04463108263778632
66,0.04463108263778632
67,0.04463108263778632
68,0.04463108263778632
69,0.04463108263778632
70,0.04463108263778632
71,0.04463108263778632
72,0.04463108263778632
73,0.04463108263778632
74,0.04463108263778632
75,0.04463108263778632
76,0.04463108263778632
77,0.04463108263778632
78,0.04463108263778632
79,0.04463108263778632
80,0.04463108263778632
81,0.04463108263778632
82,0.04463108263778632
83,0.04463108263778632
84,0.04463108263778632
85,0.04463108263778632
86,0.04463108263778632
87,0.04463108263778632
88,0.04463108263778632
89,0.04463108263778632
90,0.04463108263778632
91,0.04463108263778632
92,0.04463108263778632
93,0.04463108263778632
94,0.04463108263778632
95,0.04463108263778632
96,0.04463108263778632
97,0.04463108263778632
98,0.04463108263778632
99,0.04463108263778632
100,0.04463108263778632
