iter,max_ei,median_sigma,mll
1,-8.372854006746845,0.006425098344433686,-0.9225501429145289
2,-8.98316881399106,0.007442980390012923,-0.9985450248002218
3,-10.04288382092778,0.007530743316133,-1.010401413995263
4,-13.06049347049898,0.007928915429404524,-1.062471537923047
5,-13.138033831644938,0.008273704708228401,-1.0583736094276268
6,-11.651029703287065,0.008251553849460018,-1.0576358229743383
7,-13.69716969369237,0.008232469435736309,-1.0583746691994833
8,-14.639738242401563,0.008227064518496849,-1.058162677753301
9,-11.135256979208446,0.008281899865401543,-1.0550668062569855
10,-13.787263110948556,0.008255921791946575,-1.0554987921667651
11,-13.516611277333006,0.008241418075951358,-1.054780140126976
12,-14.270930157677952,0.008225602408301334,-1.0590001052772235
13,-15.409496287147185,0.008210884598940125,-1.0714256826563267
14,-15.290304352106673,0.008252022039798983,-1.070446589673606
15,-15.32078607854849,0.008253558571637367,-1.06389216028207
16,-13.929060767389181,0.008229208658680948,-1.0629248822776065
17,-15.314506410478304,0.008212055672452792,-1.061882935257567
18,-15.483867652873345,0.008187354227501515,-1.0611254809894943
19,-15.44522257726181,0.00816472233863554,-1.060327574711869
20,-14.616165465056415,0.008295323566626555,-1.0537314335938113
21,-14.667572321730074,0.008285988887142982,-1.0584579428854861
22,-15.2117907540135,0.008265687043109118,-1.0577265592063196
23,-15.275769443249647,0.008251236908359745,-1.0569886217810134
24,-15.165679728531302,0.008237178439291478,-1.0562202467744237
25,-14.54576464816418,0.008213755021152746,-1.055284724730907
26,-14.997829950398767,0.008201940025701555,-1.0545408016911304
27,-14.653007853505098,0.00818270888338701,-1.0538555625939845
28,-15.397385627397625,0.008164396311847523,-1.0530232298412412
29,-15.287150665932323,0.00814168360370347,-1.0519699192308023
30,-15.445960745156434,0.008122067239119842,-1.0513154383144714
31,-12.49275114333324,0.008383871733001994,-1.0410585777615846
32,-15.047018072999894,0.008374611144132935,-1.0402122729581373
33,-14.71122924574648,0.00835144871329543,-1.039646913383432
34,-15.023174360445157,0.0083292353673988,-1.0390872345693607
35,-15.13043750724282,0.008312208032821006,-1.0378132967060485
36,-15.103509611598115,0.00829216120474164,-1.0372534597443
37,-15.24530200978268,0.00826985470372065,-1.036278913047453
38,-14.278605759092088,0.00824804050440659,-1.035623704290657
39,-15.348029531863805,0.008234727820004503,-1.0350828734551094
40,-14.75690959060936,0.008218031109629835,-1.0343804905444003
41,-15.35353397621212,0.008196771162723566,-1.0338987641406574
42,-15.47401510305058,0.008177154849882412,-1.03319212258522
43,-14.306301379456698,0.008283777976898235,-1.0333858366889677
44,-14.807486281640577,0.008263110152968068,-1.0327630703899446
45,-14.896973257812167,0.00825296266996359,-1.0322460099801782
46,-15.23761664853488,0.008231994114601448,-1.0317029490828018
47,-15.359345538193725,0.008217083951698593,-1.0331740232489197
