,best_speed
0,0.0339551436398912
1,0.0339551436398912
2,0.0339551436398912
3,0.0339551436398912
4,0.0339551436398912
5,0.0339551436398912
6,0.0339551436398912
7,0.0339551436398912
8,0.0339551436398912
9,0.0339551436398912
10,0.0339551436398912
11,0.0339551436398912
12,0.0339551436398912
13,0.0339551436398912
14,0.0339551436398912
15,0.0339551436398912
16,0.0339551436398912
17,0.0339551436398912
18,0.0339551436398912
19,0.0339551436398912
20,0.0339551436398912
21,0.0339551436398912
22,0.0339551436398912
23,0.0339551436398912
24,0.0339551436398912
25,0.0339551436398912
26,0.0339551436398912
27,0.0339551436398912
28,0.0339551436398912
29,0.0339551436398912
30,0.0339551436398912
31,0.0339551436398912
32,0.0339551436398912
33,0.0339551436398912
34,0.0339551436398912
35,0.0339551436398912
36,0.0339551436398912
37,0.0339551436398912
38,0.0339551436398912
39,0.0339551436398912
40,0.0339551436398912
41,0.0339551436398912
42,0.0339551436398912
43,0.0339551436398912
44,0.0339551436398912
45,0.0339551436398912
46,0.0339551436398912
47,0.0339551436398912
48,0.0339551436398912
49,0.0339551436398912
50,0.0339551436398912
51,0.0339551436398912
52,0.0339551436398912
53,0.0339551436398912
54,0.0339551436398912
55,0.0339551436398912
56,0.0339551436398912
57,0.0339551436398912
58,0.0339551436398912
59,0.0339551436398912
60,0.0339551436398912
61,0.0339551436398912
62,0.0339551436398912
63,0.0339551436398912
64,0.0339551436398912
65,0.0339551436398912
66,0.0339551436398912
67,0.0339551436398912
68,0.0339551436398912
69,0.0339551436398912
70,0.0339551436398912
71,0.0339551436398912
72,0.0339551436398912
73,0.0339551436398912
74,0.0339551436398912
75,0.0339551436398912
76,0.0339551436398912
77,0.0339551436398912
78,0.035003811169646466
79,0.035003811169646466
80,0.03551242964481881
81,0.03551242964481881
82,0.03551242964481881
83,0.03551242964481881
84,0.03551242964481881
85,0.03551242964481881
86,0.03551242964481881
87,0.03551242964481881
88,0.03551242964481881
89,0.03551242964481881
90,0.03551242964481881
91,0.03551242964481881
92,0.03562907814537784
93,0.03562907814537784
94,0.03562907814537784
95,0.03562907814537784
96,0.03562907814537784
97,0.03562907814537784
98,0.03562907814537784
99,0.03562907814537784
100,0.035656896785378846
